,Period,Statement,Group,Account Name,Amount
0,14.0,BS,BEL,Expected Cash Inflows,368464.0
1,14.0,BS,BEL,Expected Cash Outflows,-114754.0
2,14.0,BS,BEL,Insurance Service Expense,-33135.0
3,14.0,BS,ECF,Premiums,368464.0
4,14.0,BS,ECF,Renewal Commission,-18423.0
5,14.0,BS,ECF,Maintenance Expense Attributable,-14450.0
6,14.0,BS,ECF,Maintenance Expense Non-Attributable,-9633.0
7,14.0,BS,ECF,Claims,-81881.0
8,14.0,BS,ACF,Premiums,368464.0
9,14.0,BS,ACF,Renewal Commission,-18423.0
10,14.0,BS,ACF,Maintenance Expense Attributable,-14450.0
11,14.0,BS,ACF,Maintenance Expense Non-Attributable,-9633.0
12,14.0,BS,ACF,Claims,-81881.0
13,14.0,BS,ERA,Claims,-12282.0
14,14.0,BS,ARA,Claims,-12282.0
15,14.0,BS,CSM,Insurance Service Expense,74151.0
16,14.0,BS,CSM,Changes Related to Current Service: Release,-365556.0
17,14.0,BS,TCL,Expected Cash Inflows,368464.0
18,14.0,BS,TCL,Expected Cash Outflows,-114754.0
19,14.0,BS,TCL,Insurance Service Expense,43669.0
20,14.0,BS,TCL,Changes Related to Current Service: Release,-377839.0
21,14.0,BS,RRA,Insurance Service Expense,2653.0
22,14.0,BS,RRA,Changes Related to Current Service: Release,-12282.0
23,14.0,BS,AEA,Accretion of Interest,5831.0
24,14.0,BS,AEA,Amortised Expense,-28745.0
25,14.0,PL,PLIR,Release of CSM,365556.0
26,14.0,PL,PLIR,Release of Risk Adjustment,12282.0
27,14.0,PL,PLIR,Expected Claims,81881.0
28,14.0,PL,PLIR,Expected Expenses,32873.0
29,14.0,PL,PLIR,Recovery of Acquisition Cash Flows,28745.0
30,14.0,PL,PLIE,Claims Incurred,-81881.0
31,14.0,PL,PLIE,Expenses Incurred,-32873.0
32,14.0,PL,PLOE,Amortisation of Acquisition Cash Flows,-28745.0
33,14.0,PL,PLFGL,Investment Income,49127.0
34,14.0,PL,PLFGL,Insurance Financial Expense,-43669.0
