,Period,Statement,Group,Account Name,Amount
0,9.0,BS,BEL,Expected Cash Inflows,479357.0
1,9.0,BS,BEL,Expected Cash Outflows,-105427.0
2,9.0,BS,BEL,Insurance Service Expense,-81444.0
3,9.0,BS,ECF,Premiums,479357.0
4,9.0,BS,ECF,Renewal Commission,-23968.0
5,9.0,BS,ECF,Maintenance Expense Attributable,-18798.0
6,9.0,BS,ECF,Maintenance Expense Non-Attributable,-12532.0
7,9.0,BS,ECF,Claims,-62661.0
8,9.0,BS,ACF,Premiums,479357.0
9,9.0,BS,ACF,Renewal Commission,-23968.0
10,9.0,BS,ACF,Maintenance Expense Attributable,-18798.0
11,9.0,BS,ACF,Maintenance Expense Non-Attributable,-12532.0
12,9.0,BS,ACF,Claims,-62661.0
13,9.0,BS,ERA,Claims,-9399.0
14,9.0,BS,ARA,Claims,-9399.0
15,9.0,BS,CSM,Insurance Service Expense,128814.0
16,9.0,BS,CSM,Changes Related to Current Service: Release,-390887.0
17,9.0,BS,TCL,Expected Cash Inflows,479357.0
18,9.0,BS,TCL,Expected Cash Outflows,-105427.0
19,9.0,BS,TCL,Insurance Service Expense,51426.0
20,9.0,BS,TCL,Changes Related to Current Service: Release,-400287.0
21,9.0,BS,RRA,Insurance Service Expense,4057.0
22,9.0,BS,RRA,Changes Related to Current Service: Release,-9399.0
23,9.0,BS,AEA,Accretion of Interest,10129.0
24,9.0,BS,AEA,Amortised Expense,-30737.0
25,9.0,PL,PLIR,Release of CSM,390887.0
26,9.0,PL,PLIR,Release of Risk Adjustment,9399.0
27,9.0,PL,PLIR,Expected Claims,62661.0
28,9.0,PL,PLIR,Expected Expenses,42766.0
29,9.0,PL,PLIR,Recovery of Acquisition Cash Flows,30737.0
30,9.0,PL,PLIE,Claims Incurred,-62661.0
31,9.0,PL,PLIE,Expenses Incurred,-42766.0
32,9.0,PL,PLOE,Amortisation of Acquisition Cash Flows,-30737.0
33,9.0,PL,PLFGL,Investment Income,57854.0
34,9.0,PL,PLFGL,Insurance Financial Expense,-51426.0
