,Period,Statement,Group,Account Name,Amount
0,7.0,BS,BEL,Expected Cash Inflows,532095.0
1,7.0,BS,BEL,Expected Cash Outflows,-103115.0
2,7.0,BS,BEL,Insurance Service Expense,-104723.0
3,7.0,BS,ECF,Premiums,532095.0
4,7.0,BS,ECF,Renewal Commission,-26605.0
5,7.0,BS,ECF,Maintenance Expense Attributable,-20866.0
6,7.0,BS,ECF,Maintenance Expense Non-Attributable,-13911.0
7,7.0,BS,ECF,Claims,-55644.0
8,7.0,BS,ACF,Premiums,532095.0
9,7.0,BS,ACF,Renewal Commission,-26605.0
10,7.0,BS,ACF,Maintenance Expense Attributable,-20866.0
11,7.0,BS,ACF,Maintenance Expense Non-Attributable,-13911.0
12,7.0,BS,ACF,Claims,-55644.0
13,7.0,BS,ERA,Claims,-8347.0
14,7.0,BS,ARA,Claims,-8347.0
15,7.0,BS,CSM,Insurance Service Expense,149170.0
16,7.0,BS,CSM,Changes Related to Current Service: Release,-401158.0
17,7.0,BS,TCL,Expected Cash Inflows,532095.0
18,7.0,BS,TCL,Expected Cash Outflows,-103115.0
19,7.0,BS,TCL,Insurance Service Expense,48849.0
20,7.0,BS,TCL,Changes Related to Current Service: Release,-409504.0
21,7.0,BS,RRA,Insurance Service Expense,4401.0
22,7.0,BS,RRA,Changes Related to Current Service: Release,-8347.0
23,7.0,BS,AEA,Accretion of Interest,11730.0
24,7.0,BS,AEA,Amortised Expense,-31544.0
25,7.0,PL,PLIR,Release of CSM,401158.0
26,7.0,PL,PLIR,Release of Risk Adjustment,8347.0
27,7.0,PL,PLIR,Expected Claims,55644.0
28,7.0,PL,PLIR,Expected Expenses,47471.0
29,7.0,PL,PLIR,Recovery of Acquisition Cash Flows,31544.0
30,7.0,PL,PLIE,Claims Incurred,-55644.0
31,7.0,PL,PLIE,Expenses Incurred,-47471.0
32,7.0,PL,PLOE,Amortisation of Acquisition Cash Flows,-31544.0
33,7.0,PL,PLFGL,Investment Income,54955.0
34,7.0,PL,PLFGL,Insurance Financial Expense,-48849.0
