,Period,Statement,Group,Account Name,Amount
0,16.0,BS,BEL,Expected Cash Inflows,331314.0
1,16.0,BS,BEL,Expected Cash Outflows,-111846.0
2,16.0,BS,BEL,Insurance Service Expense,-17284.0
3,16.0,BS,ECF,Premiums,331314.0
4,16.0,BS,ECF,Renewal Commission,-16566.0
5,16.0,BS,ECF,Maintenance Expense Attributable,-12993.0
6,16.0,BS,ECF,Maintenance Expense Non-Attributable,-8662.0
7,16.0,BS,ECF,Claims,-82287.0
8,16.0,BS,ACF,Premiums,331314.0
9,16.0,BS,ACF,Renewal Commission,-16566.0
10,16.0,BS,ACF,Maintenance Expense Attributable,-12993.0
11,16.0,BS,ACF,Maintenance Expense Non-Attributable,-8662.0
12,16.0,BS,ACF,Claims,-82287.0
13,16.0,BS,ERA,Claims,-12343.0
14,16.0,BS,ARA,Claims,-12343.0
15,16.0,BS,CSM,Insurance Service Expense,50573.0
16,16.0,BS,CSM,Changes Related to Current Service: Release,-355522.0
17,16.0,BS,TCL,Expected Cash Inflows,331314.0
18,16.0,BS,TCL,Expected Cash Outflows,-111846.0
19,16.0,BS,TCL,Insurance Service Expense,35155.0
20,16.0,BS,TCL,Changes Related to Current Service: Release,-367865.0
21,16.0,BS,RRA,Insurance Service Expense,1866.0
22,16.0,BS,RRA,Changes Related to Current Service: Release,-12343.0
23,16.0,BS,AEA,Accretion of Interest,3977.0
24,16.0,BS,AEA,Amortised Expense,-27956.0
25,16.0,PL,PLIR,Release of CSM,355522.0
26,16.0,PL,PLIR,Release of Risk Adjustment,12343.0
27,16.0,PL,PLIR,Expected Claims,82287.0
28,16.0,PL,PLIR,Expected Expenses,29558.0
29,16.0,PL,PLIR,Recovery of Acquisition Cash Flows,27956.0
30,16.0,PL,PLIE,Claims Incurred,-82287.0
31,16.0,PL,PLIE,Expenses Incurred,-29558.0
32,16.0,PL,PLOE,Amortisation of Acquisition Cash Flows,-27956.0
33,16.0,PL,PLFGL,Investment Income,39549.0
34,16.0,PL,PLFGL,Insurance Financial Expense,-35155.0
