,Period,Statement,Group,Account Name,Amount
0,15.0,BS,ECF,Premiums,349414.0
1,15.0,BS,ECF,Renewal Commission,-17471.0
2,15.0,BS,ECF,Maintenance Expense Attributable,-13703.0
3,15.0,BS,ECF,Maintenance Expense Non-Attributable,-9135.0
4,15.0,BS,ECF,Claims,-82215.0
5,15.0,BS,ACF,Premiums,349414.0
6,15.0,BS,ACF,Renewal Commission,-17471.0
7,15.0,BS,ACF,Maintenance Expense Attributable,-13703.0
8,15.0,BS,ACF,Maintenance Expense Non-Attributable,-9135.0
9,15.0,BS,ACF,Claims,-82215.0
10,15.0,BS,ERA,Claims,-12332.0
11,15.0,BS,ARA,Claims,-12332.0
12,15.0,BS,LRC,Premium Cash Flow,349414.0
13,15.0,BS,LRC,Acquisition Cost Amortisation,2105.0
14,15.0,BS,LRC,Insurance Revenue,-487674.0
15,15.0,BS,LIC,Risk Adjustment for Non-Financial Risk OB,-2333.0
16,15.0,BS,LIC,Estimates of the Present Value of Future Cash Flows EO,113388.0
17,15.0,BS,LIC,Risk Adjustment for Non-Financial Risk EO,467.0
18,15.0,BS,LIC,Estimates of the Present Value of Future Cash Flows AO,-113388.0
19,15.0,BS,ICL,Liability for Incurred Claims,-1867.0
20,15.0,BS,ICL,Liability for Remaining Coverage,716905.0
21,15.0,PL,PLIR,Insurance Service Revenue,487674.0
22,15.0,PL,PLIE,Insurance Service Expense,-113855.0
23,15.0,PL,PLOE,Other Expenses,-9135.0
