,Period,Statement,Group,Account Name,Amount
0,5.0,BS,ECF,Premiums,590448.0
1,5.0,BS,ECF,Renewal Commission,-29522.0
2,5.0,BS,ECF,Maintenance Expense Attributable,-23155.0
3,5.0,BS,ECF,Maintenance Expense Non-Attributable,-15437.0
4,5.0,BS,ECF,Claims,-54028.0
5,5.0,BS,ACF,Premiums,590448.0
6,5.0,BS,ACF,Renewal Commission,-29522.0
7,5.0,BS,ACF,Maintenance Expense Attributable,-23155.0
8,5.0,BS,ACF,Maintenance Expense Non-Attributable,-15437.0
9,5.0,BS,ACF,Claims,-54028.0
10,5.0,BS,ERA,Claims,-8104.0
11,5.0,BS,ARA,Claims,-8104.0
12,5.0,BS,LRC,Premium Cash Flow,590448.0
13,5.0,BS,LRC,Acquisition Cost Amortisation,2105.0
14,5.0,BS,LRC,Insurance Revenue,-487674.0
15,5.0,BS,LIC,Risk Adjustment for Non-Financial Risk OB,-7000.0
16,5.0,BS,LIC,Estimates of the Present Value of Future Cash Flows EO,106705.0
17,5.0,BS,LIC,Risk Adjustment for Non-Financial Risk EO,467.0
18,5.0,BS,LIC,Estimates of the Present Value of Future Cash Flows AO,-106705.0
19,5.0,BS,ICL,Liability for Incurred Claims,-6533.0
20,5.0,BS,ICL,Liability for Remaining Coverage,1093121.0
21,5.0,PL,PLIR,Insurance Service Revenue,487674.0
22,5.0,PL,PLIE,Insurance Service Expense,-107172.0
23,5.0,PL,PLOE,Other Expenses,-15437.0
