,Period,Statement,Group,Account Name,Amount
0,7.0,BS,ECF,Premiums,532095.0
1,7.0,BS,ECF,Renewal Commission,-26605.0
2,7.0,BS,ECF,Maintenance Expense Attributable,-20866.0
3,7.0,BS,ECF,Maintenance Expense Non-Attributable,-13911.0
4,7.0,BS,ECF,Claims,-55644.0
5,7.0,BS,ACF,Premiums,532095.0
6,7.0,BS,ACF,Renewal Commission,-26605.0
7,7.0,BS,ACF,Maintenance Expense Attributable,-20866.0
8,7.0,BS,ACF,Maintenance Expense Non-Attributable,-13911.0
9,7.0,BS,ACF,Claims,-55644.0
10,7.0,BS,ERA,Claims,-8347.0
11,7.0,BS,ARA,Claims,-8347.0
12,7.0,BS,LRC,Premium Cash Flow,532095.0
13,7.0,BS,LRC,Acquisition Cost Amortisation,2105.0
14,7.0,BS,LRC,Insurance Revenue,-487674.0
15,7.0,BS,LIC,Risk Adjustment for Non-Financial Risk OB,-6067.0
16,7.0,BS,LIC,Estimates of the Present Value of Future Cash Flows EO,103115.0
17,7.0,BS,LIC,Risk Adjustment for Non-Financial Risk EO,467.0
18,7.0,BS,LIC,Estimates of the Present Value of Future Cash Flows AO,-103115.0
19,7.0,BS,ICL,Liability for Incurred Claims,-5600.0
20,7.0,BS,ICL,Liability for Remaining Coverage,1214591.0
21,7.0,PL,PLIR,Insurance Service Revenue,487674.0
22,7.0,PL,PLIE,Insurance Service Expense,-103582.0
23,7.0,PL,PLOE,Other Expenses,-13911.0
