,Period,Statement,Group,Account Name,Amount
0,6.0,BS,ECF,Premiums,560513.0
1,6.0,BS,ECF,Renewal Commission,-28026.0
2,6.0,BS,ECF,Maintenance Expense Attributable,-21981.0
3,6.0,BS,ECF,Maintenance Expense Non-Attributable,-14654.0
4,6.0,BS,ECF,Claims,-51289.0
5,6.0,BS,ACF,Premiums,560513.0
6,6.0,BS,ACF,Renewal Commission,-28026.0
7,6.0,BS,ACF,Maintenance Expense Attributable,-21981.0
8,6.0,BS,ACF,Maintenance Expense Non-Attributable,-14654.0
9,6.0,BS,ACF,Claims,-51289.0
10,6.0,BS,ERA,Claims,-7693.0
11,6.0,BS,ARA,Claims,-7693.0
12,6.0,BS,LRC,Premium Cash Flow,560513.0
13,6.0,BS,LRC,Acquisition Cost Amortisation,2105.0
14,6.0,BS,LRC,Insurance Revenue,-487674.0
15,6.0,BS,LIC,Risk Adjustment for Non-Financial Risk OB,-6533.0
16,6.0,BS,LIC,Estimates of the Present Value of Future Cash Flows EO,101295.0
17,6.0,BS,LIC,Risk Adjustment for Non-Financial Risk EO,467.0
18,6.0,BS,LIC,Estimates of the Present Value of Future Cash Flows AO,-101295.0
19,6.0,BS,ICL,Liability for Incurred Claims,-6067.0
20,6.0,BS,ICL,Liability for Remaining Coverage,1168065.0
21,6.0,PL,PLIR,Insurance Service Revenue,487674.0
22,6.0,PL,PLIE,Insurance Service Expense,-101762.0
23,6.0,PL,PLOE,Other Expenses,-14654.0
